data,time
10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,0
200,0
300,0
400,0
500,0
600,0
700,0
800,0
900,0
1000,0
2000,0
3000,0.2
4000,1
5000,1.1
6000,1
7000,2
8000,2.2
9000,2.2
10000,3.2
20000,6.9
30000,10.3
40000,14.7
50000,17.8
60000,22.3
70000,26.7
80000,30.8
90000,34.7
100000,40.3
