data,time
10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,0
200,0
300,0
400,0
500,0
600,0
700,0
800,0
900,0
1000,0
2000,0
3000,0
4000,1
5000,1
6000,1
7000,1.3
8000,2
9000,2.1
10000,2.2
20000,6
30000,9.3
40000,12.8
50000,16.4
60000,20.2
70000,23.7
80000,27.2
90000,32.2
100000,35.2
