data,time
10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,0
200,0
300,0
400,1
500,1
600,2
700,3
800,3.5
900,5.6
1000,6.2
2000,25.8
3000,56.6
4000,99.4
5000,156.1
6000,225.9
7000,315.4
8000,398.6
9000,506.1
10000,619.4
20000,2494.4
30000,5594.7
40000,9917
50000,15488.3
60000,22851.3
70000,30419.1
80000,39682.3
90000,50487.7
100000,61939.6
