data,time
10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,0
200,0
300,0
400,0
500,0
600,0
700,0
800,0
900,0
1000,0
2000,0
3000,0
4000,1
5000,1
6000,1.2
7000,2
8000,2
9000,2.7
10000,4.2
20000,8.4
30000,11
40000,14.6
50000,17.9
60000,23.4
70000,28
80000,30.5
90000,35
100000,40.9
