data,time
10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,0
200,0
300,0
400,0
500,1
600,1
700,1
800,2
900,2
1000,3.2
2000,12.7
3000,28.8
4000,51.1
5000,79.7
6000,114.7
7000,155.2
8000,202.1
9000,258.6
10000,330.6
20000,1273.1
30000,2852.9
40000,5027.6
50000,8555.7
60000,11290.3
70000,16435
80000,20726.8
90000,27043.9
100000,32651.3
