data,time
10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,0
200,0
300,0
400,1
500,1.1
600,2.2
700,3
800,4.1
900,5.1
1000,7.4
2000,27.6
3000,58.7
4000,101.4
5000,159.8
6000,228.9
7000,311.1
8000,409
9000,512.1
10000,636.8
20000,2538.4
30000,5689.9
40000,10148
50000,15866.7
60000,22860.5
70000,30981.2
80000,40439.6
90000,51403.6
100000,63745.6
