data,time
10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,0
200,0
300,0
400,1
500,1.6
600,2.1
700,3.4
800,4
900,5.4
1000,6
2000,25.1
3000,59.1
4000,104.1
5000,156.7
6000,224.5
7000,305.4
8000,398.9
9000,503.4
10000,624.6
20000,2534.5
30000,5599.1
40000,10068.4
50000,15518.5
60000,22356.6
70000,30466.8
80000,39857.7
90000,50311.1
100000,62487
