data,time
10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,0
200,0
300,0
400,1
500,1.4
600,2.1
700,3
800,4
900,5
1000,6.4
2000,25.6
3000,59.4
4000,104.5
5000,159.4
6000,228.6
7000,307.7
8000,407.8
9000,509.7
10000,633
20000,2529.2
30000,5692
40000,10813
50000,15952.7
60000,23473.1
70000,31495.2
80000,41849.5
90000,53197.1
100000,64883.5
