data,time
10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,0
200,0
300,0
400,0
500,0
600,0
700,0
800,0
900,0
1000,0
2000,1
3000,1.1
4000,2.2
5000,3
6000,3.2
7000,4.1
8000,5
9000,6.1
10000,6.2
20000,14.3
30000,28.1
40000,33.3
50000,42.5
60000,50.1
70000,64.1
80000,77
90000,80.3
100000,92.7
