data,time
10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,0
200,0
300,0
400,0
500,0
600,0
700,0
800,0
900,0
1000,0
2000,0.3
3000,1
4000,1
5000,2
6000,2.1
7000,3
8000,3
9000,4.4
10000,4.6
20000,10.1
30000,18.3
40000,25.4
50000,28.5
60000,33.9
70000,40.1
80000,47
90000,58
100000,59
